store_id,uptime_last_week,downtime_last_week
996545263020113552,53:32:09,26:57:01
999736323021312191,13:58:51,100:54:38
1000385412041408565,19:53:00,07:41:41
1000558441535520566,05:00:56,54:32:42
1005454408747305679,64:13:09,00:59:35
1009358099378516398,108:54:17,13:01:14
1011576216621297748,108:56:49,01:01:33
1023496631999592780,106:39:52,00:00:00
1024015964072928046,09:48:33,36:24:30
1024201760647776108,106:43:45,08:09:52
1026215891482405791,40:34:29,15:57:30
1032470530071453453,85:57:13,42:46:39
1034937556355683894,00:00:00,52:38:09
1036522294471450615,09:58:35,40:31:48
1046625104556736637,54:54:53,00:29:24
1046695203099528435,85:38:11,42:51:27
1054127900102066513,111:13:33,10:03:20
1054904576685614049,32:50:07,78:12:15
1067538211658205745,05:00:03,59:15:45
1068919759104443995,106:42:02,00:00:00
1072565569128117545,48:25:43,24:59:37
1079126965017760358,41:11:45,00:00:00
1080003241488995926,09:06:41,30:24:47
1080245494597782861,23:51:06,03:39:27
1081857154158966079,97:56:02,07:01:21
1082241040455504337,102:39:22,03:07:14
1082837889100865075,08:03:05,96:40:13
1085824308941718209,18:29:15,00:00:00
1086760578317199372,37:02:42,05:53:14
1087889765091730849,37:23:03,18:22:01
1099483602963486225,32:17:14,77:53:15
1108855933943795950,129:13:27,01:13:42
1111908011565911561,33:09:59,52:57:19
1116295273010322427,29:41:01,28:17:06
1117225057788003557,14:00:36,98:44:12
1117406928487289377,128:49:14,01:29:43
1118591033928503491,131:59:00,01:00:27
1120829635370895609,33:23:33,80:27:44
1123487660396302079,64:13:09,00:59:35
1128714831617789787,40:02:28,78:00:49
1129531468306022080,26:21:04,03:39:32
1137297385488639192,31:02:48,03:12:40
1137506062745200344,128:48:32,01:02:02
1138056988177935645,58:07:44,15:24:38
1146388587084283833,87:14:42,25:57:32
1151180501635028893,37:07:22,74:18:01
1151531425368716635,76:39:17,49:13:44
1152281987627715479,54:28:23,18:03:38
1153213810130720240,04:01:55,40:28:18
1155524075673736230,34:02:00,38:02:14
1156603085055048182,43:46:11,01:01:07
1158893268168195549,25:57:51,16:56:43
1170709653513740101,95:36:52,17:03:13
1170809964814331317,111:50:53,04:43:33
1174210677082031554,23:57:51,71:30:39
1177035080301265113,128:35:13,00:28:55
1178033002921838531,23:59:12,83:14:57
1182199636118279335,02:35:15,47:33:24
1184862317233235711,97:17:59,17:07:49
1186140560025319332,52:02:26,11:00:44
1187163845750987431,78:04:40,09:09:13
1194083857983025070,77:41:22,01:59:54
1198655103691192273,00:00:00,44:58:21
1200019575161721975,03:59:26,91:31:38
1200739515636438055,47:05:30,23:32:41
1201335973473660846,33:55:04,36:04:46
1202632237927065067,96:19:43,32:54:35
1207935341756348448,99:53:22,04:00:00
1213599407959378897,49:45:42,01:39:12
1214336484911481863,109:28:55,12:22:51
1214463650020822845,108:58:47,01:03:22
1215655327815183943,128:30:25,01:35:37
1220459219622194660,28:52:59,21:21:42
1220550210476923687,12:58:06,21:09:49
1221300488192191098,107:08:50,21:16:02
1227871110536975051,23:57:16,11:41:17
1241132482221307074,29:09:13,30:57:45
1244537422937396557,14:01:20,57:38:37
1247660105897446120,67:13:27,05:41:48
1256671219198171494,51:23:06,08:17:40
1257920228441546009,128:46:20,00:03:38
1261687550619351810,16:48:04,32:56:22
1263828702133426446,108:58:18,01:01:26
1275814811760401388,29:42:00,20:41:47
1280612379290794137,06:08:01,48:41:23
1283273132604219939,03:54:56,60:33:16
1283993332179817849,29:21:32,73:57:11
1287159403789190934,16:02:01,99:59:19
1287736612225561084,29:04:02,17:21:14
1288576128502837923,54:17:34,00:00:00
1294944983583892162,84:57:51,47:47:10
1295219977177781084,08:00:36,20:56:17
1296969062983847515,81:55:17,43:03:35
1298728055823513374,06:08:44,41:37:23
1299516327895514875,23:23:23,20:43:47
1303114842354894644,00:00:00,48:28:03
1306364946253577092,108:57:01,05:12:09
1306485543652827390,37:34:13,05:55:11
1307800148782030926,106:35:33,01:00:03
1309908774758601076,20:42:14,08:37:30
1312024387053793548,14:04:38,112:10:58
1316190527429222674,13:58:32,111:18:05
1316891599702211529,128:38:42,01:10:52
1318863315097217975,54:34:02,00:00:00
1322452402311950477,43:19:56,02:31:21
1322961426183602210,105:37:35,03:41:06
1333483637092150265,01:55:33,104:37:43
1334932026955461485,42:10:48,12:04:53
1337082640451733051,14:04:02,98:31:31
1337863283388780288,01:03:49,44:57:26
1338795293517935018,109:02:27,01:59:51
1339484018189429613,36:53:05,17:48:44
1346666084246437812,22:41:01,32:57:56
1349486426943511771,28:42:07,78:57:03
1362363241558506029,35:05:42,19:03:20
1363166507682123182,29:42:19,11:46:51
1368310763058997413,18:15:24,59:09:08
1369225992802026851,25:56:54,113:00:38
1376003501047500209,38:59:06,00:02:00
1377940529673623901,109:03:09,01:03:21
